

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Buy,1/22/2018 10:15,LE1,$3473.00,$0.00,2,$236.60,0.69%,$302.50,97.58%,,$0.70,$1.00
,Sell,1/23/2018 15:30,LX1,$3497.00,,$240.00,$236.60,,($7.50),79.84%,77.42%,$0.70,$1.00
2,Buy,1/22/2018 10:30,LE2,$3477.25,$0.00,4,$388.20,0.57%,$520.00,93.69%,,$1.40,$2.00
,Sell,1/23/2018 15:30,LX2,$3497.00,,$395.00,$624.80,,($35.00),77.48%,71.17%,$1.40,$2.00
3,Buy,1/22/2018 10:45,LE3,$3479.50,$0.00,4,$343.20,0.50%,$475.00,85.59%,,$1.40,$2.00
,Sell,1/23/2018 15:30,LX3,$3497.00,,$350.00,$968.00,,($80.00),77.48%,63.06%,$1.40,$2.00
4,Buy,2/1/2018 13:30,LE1,$3493.75,$0.00,2,($125.90),-0.35%,$12.50,9.26%,,$0.70,$1.00
,Sell,2/1/2018 14:30,PosRiskLX,$3481.50,,($122.50),$842.10,,($122.50),0.00%,-90.74%,$0.70,$1.00
5,Buy,2/1/2018 13:45,LE2,$3493.50,$0.00,4,($246.80),-0.34%,$10.00,4.00%,,$1.40,$2.00
,Sell,2/1/2018 14:30,PosRiskLX,$3481.50,,($240.00),$595.30,,($240.00),0.00%,-96.00%,$1.40,$2.00
6,Buy,2/1/2018 14:00,LE3,$3488.75,$0.00,4,($151.80),-0.21%,$15.00,9.38%,,$1.40,$2.00
,Sell,2/1/2018 14:30,PosRiskLX,$3481.50,,($145.00),$443.50,,($145.00),0.00%,-90.63%,$1.40,$2.00
7,Buy,2/14/2018 09:45,LE1,$3304.25,$0.00,2,$901.60,2.74%,$1090.00,97.32%,,$0.70,$1.00
,Sell,2/16/2018 13:45,LX1,$3394.75,,$905.00,$1345.10,,($30.00),83.48%,80.80%,$0.70,$1.00
8,Buy,2/14/2018 10:00,LE2,$3311.00,$0.00,2,$834.10,2.53%,$1022.50,94.90%,,$0.70,$1.00
,Sell,2/16/2018 13:45,LX2,$3394.75,,$837.50,$2179.20,,($55.00),82.83%,77.73%,$0.70,$1.00
9,Buy,2/14/2018 10:15,LE3,$3310.50,$0.00,2,$839.10,2.54%,$1027.50,98.09%,,$0.70,$1.00
,Sell,2/16/2018 13:45,LX3,$3394.75,,$842.50,$3018.30,,($20.00),82.34%,80.43%,$0.70,$1.00
10,Buy,2/21/2018 11:45,LE1,$3393.25,$0.00,2,($185.90),-0.54%,$130.00,41.60%,,$0.70,$1.00
,Sell,2/21/2018 15:15,PosRiskLX,$3375.00,,($182.50),$2832.40,,($182.50),0.00%,-58.40%,$0.70,$1.00
11,Buy,2/21/2018 12:00,LE2,$3392.00,$0.00,2,($173.40),-0.50%,$142.50,45.60%,,$0.70,$1.00
,Sell,2/21/2018 15:15,PosRiskLX,$3375.00,,($170.00),$2659.00,,($170.00),0.00%,-54.40%,$0.70,$1.00
12,Buy,2/21/2018 12:15,LE3,$3390.25,$0.00,2,($155.90),-0.45%,$160.00,51.20%,,$0.70,$1.00
,Sell,2/21/2018 15:15,PosRiskLX,$3375.00,,($152.50),$2503.10,,($152.50),0.00%,-48.80%,$0.70,$1.00
13,Buy,2/22/2018 11:45,LE1,$3384.75,$0.00,2,($133.40),-0.38%,$47.50,26.03%,,$0.70,$1.00
,Sell,2/22/2018 13:30,LX1,$3371.75,,($130.00),$2369.70,,($135.00),2.74%,-71.23%,$0.70,$1.00
14,Buy,2/22/2018 12:00,LE2,$3386.50,$0.00,2,($150.90),-0.44%,$30.00,16.44%,,$0.70,$1.00
,Sell,2/22/2018 13:30,LX2,$3371.75,,($147.50),$2218.80,,($152.50),2.74%,-80.82%,$0.70,$1.00
15,Buy,2/22/2018 12:15,LE3,$3386.75,$0.00,2,($153.40),-0.44%,$27.50,15.07%,,$0.70,$1.00
,Sell,2/22/2018 13:30,LX3,$3371.75,,($150.00),$2065.40,,($155.00),2.74%,-82.19%,$0.70,$1.00
16,Buy,2/23/2018 09:45,LE1,$3376.50,$0.00,2,$516.60,1.54%,$717.50,93.18%,,$0.70,$1.00
,Sell,2/27/2018 11:15,LX1,$3428.50,,$520.00,$2582.00,,($52.50),74.35%,67.53%,$0.70,$1.00
17,Buy,2/23/2018 10:00,LE2,$3378.25,$0.00,2,$499.10,1.49%,$700.00,90.91%,,$0.70,$1.00
,Sell,2/27/2018 11:15,LX2,$3428.50,,$502.50,$3081.10,,($70.00),74.35%,65.26%,$0.70,$1.00
18,Buy,2/23/2018 10:15,LE3,$3377.50,$0.00,2,$506.60,1.51%,$707.50,91.88%,,$0.70,$1.00
,Sell,2/27/2018 11:15,LX3,$3428.50,,$510.00,$3587.70,,($62.50),74.35%,66.23%,$0.70,$1.00
19,Buy,3/5/2018 12:00,LE1,$3370.50,$0.00,2,$61.60,0.19%,$225.00,81.82%,,$0.70,$1.00
,Sell,3/6/2018 10:15,% Trailing Stop,$3377.00,,$65.00,$3649.30,,($50.00),41.82%,23.64%,$0.70,$1.00
20,Buy,3/5/2018 12:15,LE2,$3370.00,$0.00,2,$66.60,0.21%,$230.00,83.64%,,$0.70,$1.00
,Sell,3/6/2018 10:15,% Trailing Stop,$3377.00,,$70.00,$3715.90,,($45.00),41.82%,25.45%,$0.70,$1.00
21,Buy,3/5/2018 12:30,LE3,$3370.50,$0.00,2,$61.60,0.19%,$225.00,81.82%,,$0.70,$1.00
,Sell,3/6/2018 10:15,% Trailing Stop,$3377.00,,$65.00,$3777.50,,($50.00),41.82%,23.64%,$0.70,$1.00
22,Buy,3/8/2018 09:45,LE1,$3392.00,$0.00,2,$559.10,1.66%,$667.50,85.30%,,$0.70,$1.00
,Sell,3/12/2018 11:00,LX1,$3448.25,,$562.50,$4336.60,,($115.00),86.58%,71.88%,$0.70,$1.00
23,Buy,3/8/2018 10:00,LE2,$3393.00,$0.00,2,$549.10,1.63%,$657.50,84.03%,,$0.70,$1.00
,Sell,3/12/2018 11:00,LX2,$3448.25,,$552.50,$4885.70,,($125.00),86.58%,70.61%,$0.70,$1.00
24,Buy,3/8/2018 10:15,LE3,$3389.50,$0.00,2,$584.10,1.73%,$692.50,88.50%,,$0.70,$1.00
,Sell,3/12/2018 11:00,LX3,$3448.25,,$587.50,$5469.80,,($90.00),86.58%,75.08%,$0.70,$1.00
25,Buy,3/16/2018 10:00,LE1,$3415.75,$0.00,2,($143.40),-0.41%,$40.00,22.22%,,$0.70,$1.00
,Sell,3/18/2018 21:15,PosRiskLX,$3401.75,,($140.00),$5326.40,,($140.00),0.00%,-77.78%,$0.70,$1.00
26,Buy,3/16/2018 10:15,LE2,$3414.00,$0.00,2,($125.90),-0.36%,$57.50,31.94%,,$0.70,$1.00
,Sell,3/18/2018 21:15,PosRiskLX,$3401.75,,($122.50),$5200.50,,($122.50),0.00%,-68.06%,$0.70,$1.00
