

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Buy,1/12/2018 05:00,BO_Long,$9771.00,$0.00,2,$239.60,0.62%,$416.00,72.98%,,$0.70,$1.00
,Sell,1/16/2018 11:00,Trail_LX,$9831.75,,$243.00,$239.60,,($154.00),69.65%,42.63%,$0.70,$1.00
2,Buy,1/19/2018 07:00,BO_Long,$9875.25,$0.00,2,$502.60,1.28%,$633.00,81.78%,,$0.70,$1.00
,Sell,1/24/2018 11:00,% Trailing Stop,$10001.75,,$506.00,$742.20,,($141.00),83.59%,65.37%,$0.70,$1.00
3,Buy,1/26/2018 15:00,BO_Long,$10026.25,$0.00,2,($45.40),-0.10%,$201.00,82.72%,,$0.70,$1.00
,Sell,1/29/2018 11:00,Trail_LX,$10015.75,,($42.00),$696.80,,($42.00),0.00%,-17.28%,$0.70,$1.00
4,Sell Short,2/5/2018 09:00,BO_Short,$9734.75,$0.00,2,($166.40),-0.42%,$92.00,36.08%,,$0.70,$1.00
,Buy to Cover,2/5/2018 11:00,Trail_SX,$9775.50,,($163.00),$530.40,,($163.00),0.00%,-63.92%,$0.70,$1.00
5,Sell Short,2/5/2018 16:00,BO_Short,$9528.50,$0.00,2,$101.60,0.28%,$446.00,98.45%,,$0.70,$1.00
,Buy to Cover,2/5/2018 19:00,Trail_SX,$9502.25,,$105.00,$632.00,,($7.00),24.72%,23.18%,$0.70,$1.00
6,Sell Short,2/5/2018 21:00,BO_Short,$9469.75,$0.00,2,$509.60,1.35%,$513.00,87.69%,,$0.70,$1.00
,Buy to Cover,2/5/2018 21:00,% Trailing Stop,$9341.50,,$513.00,$1141.60,,($72.00),100.00%,87.69%,$0.70,$1.00
7,Sell Short,2/5/2018 23:00,BO_Short,$9365.25,$0.00,2,$63.60,0.18%,$303.00,76.52%,,$0.70,$1.00
,Buy to Cover,2/6/2018 01:00,Trail_SX,$9348.50,,$67.00,$1205.20,,($93.00),40.40%,16.92%,$0.70,$1.00
8,Sell Short,2/8/2018 13:00,BO_Short,$9525.75,$0.00,2,$69.60,0.19%,$436.00,88.80%,,$0.70,$1.00
,Buy to Cover,2/8/2018 15:00,Trail_SX,$9507.50,,$73.00,$1274.80,,($55.00),26.07%,14.87%,$0.70,$1.00
9,Sell Short,2/8/2018 16:00,BO_Short,$9332.00,$0.00,2,($236.40),-0.62%,$57.00,18.57%,,$0.70,$1.00
,Buy to Cover,2/8/2018 23:00,Trail_SX,$9390.25,,($233.00),$1038.40,,($250.00),5.54%,-75.90%,$0.70,$1.00
10,Sell Short,2/9/2018 13:00,BO_Short,$9311.75,$0.00,2,$134.60,0.37%,$474.00,91.86%,,$0.70,$1.00
,Buy to Cover,2/9/2018 15:00,Trail_SX,$9277.25,,$138.00,$1173.00,,($42.00),34.88%,26.74%,$0.70,$1.00
11,Buy,2/15/2018 11:00,BO_Long,$9782.25,$0.00,2,$47.60,0.13%,$427.00,56.18%,,$0.70,$1.00
,Sell,2/20/2018 05:00,BO_LX,$9795.00,,$51.00,$1220.60,,($333.00),50.53%,6.71%,$0.70,$1.00
12,Buy,2/20/2018 15:00,BO_Long,$9868.00,$0.00,2,($309.40),-0.78%,$187.00,34.63%,,$0.70,$1.00
