

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Buy,1/12/2018 05:00,BO_Long,$9771.00,$0.00,1,$119.80,0.62%,$208.00,72.98%,,$0.35,$0.50
,Sell,1/16/2018 11:00,Trail_LX,$9831.75,,$121.50,$119.80,,($77.00),69.65%,42.63%,$0.35,$0.50
2,Buy,1/19/2018 07:00,BO_Long,$9875.25,$0.00,1,$251.30,1.28%,$316.50,81.78%,,$0.35,$0.50
,Sell,1/24/2018 11:00,% Trailing Stop,$10001.75,,$253.00,$371.10,,($70.50),83.59%,65.37%,$0.35,$0.50
3,Buy,1/26/2018 15:00,BO_Long,$10026.25,$0.00,1,($22.70),-0.10%,$100.50,82.72%,,$0.35,$0.50
,Sell,1/29/2018 11:00,Trail_LX,$10015.75,,($21.00),$348.40,,($21.00),0.00%,-17.28%,$0.35,$0.50
4,Sell Short,2/5/2018 09:00,BO_Short,$9734.75,$0.00,1,($83.20),-0.42%,$46.00,36.08%,,$0.35,$0.50
,Buy to Cover,2/5/2018 11:00,Trail_SX,$9775.50,,($81.50),$265.20,,($81.50),0.00%,-63.92%,$0.35,$0.50
5,Sell Short,2/5/2018 16:00,BO_Short,$9528.50,$0.00,1,$50.80,0.28%,$223.00,98.45%,,$0.35,$0.50
,Buy to Cover,2/5/2018 19:00,Trail_SX,$9502.25,,$52.50,$316.00,,($3.50),24.72%,23.18%,$0.35,$0.50
6,Sell Short,2/5/2018 21:00,BO_Short,$9469.75,$0.00,1,$254.80,1.35%,$256.50,87.69%,,$0.35,$0.50
,Buy to Cover,2/5/2018 21:00,% Trailing Stop,$9341.50,,$256.50,$570.80,,($36.00),100.00%,87.69%,$0.35,$0.50
7,Sell Short,2/5/2018 23:00,BO_Short,$9365.25,$0.00,1,$31.80,0.18%,$151.50,76.52%,,$0.35,$0.50
,Buy to Cover,2/6/2018 01:00,Trail_SX,$9348.50,,$33.50,$602.60,,($46.50),40.40%,16.92%,$0.35,$0.50
8,Sell Short,2/8/2018 13:00,BO_Short,$9525.75,$0.00,1,$34.80,0.19%,$218.00,88.80%,,$0.35,$0.50
,Buy to Cover,2/8/2018 15:00,Trail_SX,$9507.50,,$36.50,$637.40,,($27.50),26.07%,14.87%,$0.35,$0.50
