

TradeStation Trades List

#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage

1,Buy,1/22/2018 10:15,LE1,$3473.00,$0.00,1,$118.30,0.69%,$151.25,97.58%,,$0.35,$0.50
,Sell,1/23/2018 15:30,LX1,$3497.00,,$120.00,$118.30,,($3.75),79.84%,77.42%,$0.35,$0.50
2,Buy,1/22/2018 10:30,LE2,$3477.25,$0.00,2,$194.10,0.57%,$260.00,93.69%,,$0.70,$1.00
,Sell,1/23/2018 15:30,LX2,$3497.00,,$197.50,$312.40,,($17.50),77.48%,71.17%,$0.70,$1.00
3,Buy,1/22/2018 10:45,LE3,$3479.50,$0.00,2,$171.60,0.50%,$237.50,85.59%,,$0.70,$1.00
,Sell,1/23/2018 15:30,LX3,$3497.00,,$175.00,$484.00,,($40.00),77.48%,63.06%,$0.70,$1.00
4,Buy,2/1/2018 13:30,LE1,$3493.75,$0.00,1,($62.95),-0.35%,$6.25,9.26%,,$0.35,$0.50
,Sell,2/1/2018 14:30,PosRiskLX,$3481.50,,($61.25),$421.05,,($61.25),0.00%,-90.74%,$0.35,$0.50
5,Buy,2/1/2018 13:45,LE2,$3493.50,$0.00,2,($123.40),-0.34%,$5.00,4.00%,,$0.70,$1.00
,Sell,2/1/2018 14:30,PosRiskLX,$3481.50,,($120.00),$297.65,,($120.00),0.00%,-96.00%,$0.70,$1.00
6,Buy,2/1/2018 14:00,LE3,$3488.75,$0.00,2,($75.90),-0.21%,$7.50,9.38%,,$0.70,$1.00
,Sell,2/1/2018 14:30,PosRiskLX,$3481.50,,($72.50),$221.75,,($72.50),0.00%,-90.63%,$0.70,$1.00
7,Buy,2/14/2018 09:45,LE1,$3304.25,$0.00,1,$450.80,2.74%,$545.00,97.32%,,$0.35,$0.50
,Sell,2/16/2018 13:45,LX1,$3394.75,,$452.50,$672.55,,($15.00),83.48%,80.80%,$0.35,$0.50
8,Buy,2/14/2018 10:00,LE2,$3311.00,$0.00,1,$417.05,2.53%,$511.25,94.90%,,$0.35,$0.50
,Sell,2/16/2018 13:45,LX2,$3394.75,,$418.75,$1089.60,,($27.50),82.83%,77.73%,$0.35,$0.50
9,Buy,2/14/2018 10:15,LE3,$3310.50,$0.00,1,$419.55,2.54%,$513.75,98.09%,,$0.35,$0.50
,Sell,2/16/2018 13:45,LX3,$3394.75,,$421.25,$1509.15,,($10.00),82.34%,80.43%,$0.35,$0.50
10,Buy,2/21/2018 11:45,LE1,$3393.25,$0.00,1,($92.95),-0.54%,$65.00,41.60%,,$0.35,$0.50
,Sell,2/21/2018 15:15,PosRiskLX,$3375.00,,($91.25),$1416.20,,($91.25),0.00%,-58.40%,$0.35,$0.50
11,Buy,2/21/2018 12:00,LE2,$3392.00,$0.00,1,($86.70),-0.50%,$71.25,45.60%,,$0.35,$0.50
,Sell,2/21/2018 15:15,PosRiskLX,$3375.00,,($85.00),$1329.50,,($85.00),0.00%,-54.40%,$0.35,$0.50
12,Buy,2/21/2018 12:15,LE3,$3390.25,$0.00,1,($77.95),-0.45%,$80.00,51.20%,,$0.35,$0.50
,Sell,2/21/2018 15:15,PosRiskLX,$3375.00,,($76.25),$1251.55,,($76.25),0.00%,-48.80%,$0.35,$0.50
13,Buy,2/22/2018 11:45,LE1,$3384.75,$0.00,1,($66.70),-0.38%,$23.75,26.03%,,$0.35,$0.50
,Sell,2/22/2018 13:30,LX1,$3371.75,,($65.00),$1184.85,,($67.50),2.74%,-71.23%,$0.35,$0.50
14,Buy,2/22/2018 12:00,LE2,$3386.50,$0.00,1,($75.45),-0.44%,$15.00,16.44%,,$0.35,$0.50
,Sell,2/22/2018 13:30,LX2,$3371.75,,($73.75),$1109.40,,($76.25),2.74%,-80.82%,$0.35,$0.50
15,Buy,2/22/2018 12:15,LE3,$3386.75,$0.00,1,($76.70),-0.44%,$13.75,15.07%,,$0.35,$0.50
,Sell,2/22/2018 13:30,LX3,$3371.75,,($75.00),$1032.70,,($77.50),2.74%,-82.19%,$0.35,$0.50
16,Buy,2/23/2018 09:45,LE1,$3376.50,$0.00,1,$258.30,1.54%,$358.75,93.18%,,$0.35,$0.50
,Sell,2/27/2018 11:15,LX1,$3428.50,,$260.00,$1291.00,,($26.25),74.35%,67.53%,$0.35,$0.50
17,Buy,2/23/2018 10:00,LE2,$3378.25,$0.00,1,$249.55,1.49%,$350.00,90.91%,,$0.35,$0.50
,Sell,2/27/2018 11:15,LX2,$3428.50,,$251.25,$1540.55,,($35.00),74.35%,65.26%,$0.35,$0.50
18,Buy,2/23/2018 10:15,LE3,$3377.50,$0.00,1,$253.30,1.51%,$353.75,91.88%,,$0.35,$0.50
,Sell,2/27/2018 11:15,LX3,$3428.50,,$255.00,$1793.85,,($31.25),74.35%,66.23%,$0.35,$0.50
19,Buy,3/5/2018 12:00,LE1,$3370.50,$0.00,1,$30.80,0.19%,$112.50,81.82%,,$0.35,$0.50
